AISEQ,AICANT,AIALMACEN
81478,6.000,109
81479,4.000,109
81480,8.000,109
81481,8.000,109
81482,4.000,109
81483,4.000,109
81484,8.000,109
81485,8.000,109
81486,4.000,109
81487,6.000,109
81488,12.000,109
81489,4.000,109
81490,2.000,109
81491,3.000,109
81492,6.000,109
81493,8.000,109
81494,7.000,109
81495,3.000,109
81496,6.000,109
81497,8.000,109
81498,7.000,109
81499,6.000,109
81500,6.000,109
81501,6.000,109
81502,6.000,109
81503,12.000,109
81504,2.000,109
81505,3.000,109
81506,3.000,109
81507,2.000,109
81508,3.000,109
81509,2.000,109
81510,4.000,109
81511,2.000,109
81512,3.000,109
81513,3.000,109
81514,1.000,109
81515,1.000,109
81516,1.000,109
81517,2.000,109
81518,2.000,109
81519,2.000,109
81520,2.000,109
81521,1.000,109
81522,2.000,109
81523,3.000,109
81524,3.000,109
81525,1.000,109
81526,1.000,109
81527,3.000,109
81528,3.000,109
81529,3.000,109
81530,2.000,109
81531,1.000,109
81532,1.000,109
81533,1.000,109
81534,1.000,109
81535,4.000,109
81536,6.000,109
81537,5.000,109
81538,4.000,109
81539,1.000,109
81552,1.000,109
81553,1.000,109
82127,-1.000,109
82128,-1.000,109
82129,-1.000,109
82130,-1.000,109
82131,-1.000,109
82132,-1.000,109
82133,-1.000,109
82134,-1.000,109
82135,-1.000,109
82136,-1.000,109
82137,-1.000,109
82138,-1.000,109
82139,-1.000,109
82140,-1.000,109
82141,-1.000,109
82142,-1.000,109
82143,-1.000,109
82144,-1.000,109
82145,-1.000,109
82146,-1.000,109
82147,-1.000,109
82148,-1.000,109
82149,-1.000,109
82150,-1.000,109
82151,-1.000,109
82152,-1.000,109
82153,-1.000,109
82154,-1.000,109
82155,-1.000,109
82156,-1.000,109
82157,-1.000,109
82158,-1.000,109
82159,-1.000,109
82160,-1.000,109
82161,-1.000,109
82162,-1.000,109
82163,-1.000,109
82164,-1.000,109
82165,-1.000,109
82166,-1.000,109
82167,-1.000,109
82168,-1.000,109
82169,-1.000,109
82170,-1.000,109
82171,-1.000,109
82172,-1.000,109
82173,-1.000,109
82174,-1.000,109
82175,-1.000,109
82176,-1.000,109
82177,-1.000,109
82178,-1.000,109
82179,-1.000,109
82180,-1.000,109
82181,-1.000,109
82182,-1.000,109
82183,-1.000,109
82184,-1.000,109
82185,-1.000,109
82186,-1.000,109
82187,-1.000,109
82188,-1.000,109
82189,-1.000,109
82190,-1.000,109
82191,-1.000,109
82192,-1.000,109
82193,-1.000,109
82194,-1.000,109
82195,-1.000,109
82196,-1.000,109
82197,-1.000,109
82198,-1.000,109
82199,-1.000,109
82200,-1.000,109
82201,-1.000,109
82202,-1.000,109
82203,-1.000,109
82204,-1.000,109
82205,-1.000,109
82206,-1.000,109
82207,-1.000,109
82208,-1.000,109
82209,-1.000,109
82210,-1.000,109
82211,-1.000,109
82212,-1.000,109
82213,-1.000,109
82214,-1.000,109
82215,-1.000,109
82216,-1.000,109
82217,-1.000,109
82218,-1.000,109
82219,-1.000,109
82220,-1.000,109
82221,-1.000,109
82222,-1.000,109
82223,-1.000,109
82224,-1.000,109
82225,-1.000,109
82226,-1.000,109
82227,-1.000,109
82228,-1.000,109
82229,-1.000,109
82230,-1.000,109
82231,-1.000,109
82232,-1.000,109
82233,-1.000,109
82234,-1.000,109
82235,-1.000,109
82236,-1.000,109
82237,-1.000,109
82238,-1.000,109
82239,-1.000,109
82240,-1.000,109
82241,-1.000,109
82242,-1.000,109
82243,-1.000,109
82244,-1.000,109
82245,-1.000,109
82246,-1.000,109
82247,-1.000,109
82248,-1.000,109
82249,-1.000,109
82250,-1.000,109
82251,-1.000,109
82252,-1.000,109
82253,-1.000,109
82254,-1.000,109
82255,-1.000,109
82256,-1.000,109
82257,-1.000,109
82258,-1.000,109
82259,-1.000,109
82260,-1.000,109
82261,-1.000,109
82262,-1.000,109
82263,-1.000,109
82264,-1.000,109
82265,-1.000,109
82266,-1.000,109
82267,-1.000,109
82268,-1.000,109
82269,-1.000,109
82270,-1.000,109
82271,-1.000,109
82272,-1.000,109
82273,-1.000,109
82274,-1.000,109
82275,-1.000,109
82276,-1.000,109
82277,-1.000,109
82278,-1.000,109
82279,-1.000,109
82280,-1.000,109
82281,-1.000,109
82282,-1.000,109
82283,-1.000,109
82284,-1.000,109
82285,-1.000,109
82286,-1.000,109
82287,-1.000,109
82288,-1.000,109
82289,-1.000,109
82290,-1.000,109
82291,-1.000,109
82292,-1.000,109
82293,-1.000,109
82294,-1.000,109
82295,-1.000,109
82296,-1.000,109
82297,-1.000,109
82298,-1.000,109
82299,-1.000,109
82300,-1.000,109
82301,-1.000,109
82302,-1.000,109
82303,-1.000,109
82304,-1.000,109
82305,-1.000,109
82306,-1.000,109
82307,-1.000,109
82308,-1.000,109
82309,-1.000,109
